trout (fish+pond)
dolphin (fish+pod)
biology (school+science)
socialism (capitalism+ideology)
teacher (classroom+man)
village (countryside+town)
month (segment+year)
tomato (fruit+ketchup)
wheat (grain+harvesting)
highway (drive+road)
freshman (class+senior)
maple (team+wood)
cat (fur+pet)
military (mil+war)
pair (duo+group)
thumb (finger+hand)
saddle (donkey+leather)
cable (computer+wire)
bishop (kill+priest)
chef (cook+kitchen)
theft (crime+robbery)
accident (mistake+wreck)
trial (courtroom+review)
cellphone (communication+phone)
pier (beach+platform)
passport (airport+visa)
cook (kitchen+meal)
bedroom (floor+house)
logic (reasoning+science)
gallery (art+museum)
archbishop (bishop+grace)
marriage (act+wedding)
prosecutor (attorney+position)
year (decade+month)
minute (hour+men)
forest (countryside+timber)
devil (demon+hell)
dog (hair+thing)
necklace (decoration+jewelry)
classroom (teaching+university)
cake (dessert+egg)
man (area+person)
farm (countryside+field)
season (spring+year)
tractor (deer+farm)
anniversary (birthday+holiday)
oak (furniture+wood)
poetry (literature+verse)
onion (cry+vegetable)
story (narrative+newspaper)
monument (museum+visit)
livestock (cattle+field)
bird (eagle+roof)
disk (computer+storage)
tire (trunk+wheel)
hen (chicken+male)
summer (month+season)
prayer (church+gesture)
salmon (food+trout)
breakfast (meal+table)
bridge (crossing+mouth)
planet (space+sun)
article (block+newspaper)
physics (science+university)
nun (christian+church)
gun (shooting+weapon)
principal (president+school)
notebook (class+computer)
warehouse (inventory+storage)
bus (car+trip)
community (church+neighborhood)
wedding (church+engagement)
bathroom (bedroom+house)
flame (fire+gas)
hawk (bird+eagle)
dish (plate+sink)
mayor (officer+town)
painter (paint+picture)
printer (office+paper)
skirt (bottom+dress)
chicken (food+pet)
sheep (farm+flock)
mall (fun+suburb)
dancer (carnival+dance)
jar (container+house)
park (carnival+fun)
jaw (boy+mouth)
wine (fruit+poison)
museum (institution+sculpture)
foreigner (person+stranger)
drink (bottle+liquid)
tornado (cloud+weather)
dragon (beast+drake)
science (art+chemistry)
art (hobby+museum)
atheism (belief+religion)
pea (color+vegetable)
week (month+year)
furniture (house+wood)
shore (beach+edge)
examination (office+test)
backyard (garden+house)
violet (color+rainbow)
isle (island+walk)
tobacco (cigarette+weed)
lamp (house+table)
freeway (highway+transportation)
beef (cow+food)
mud (dirt+soil)
artist (paint+painting)
recreation (fun+park)
birthday (celebration+party)
greed (emotion+evil)
goat (farm+milk)
decision (choice+plan)
vessel (craft+home)
ship (bridge+voyage)
way (general+path)
rain (forest+weather)
vacation (fun+trip)
honey (jar+sugar)
pistol (coach+gun)
coach (advisor+manager)
calf (baby+cow)
ant (carpet+insect)
plot (main+story)
sorrow (emotion+life)
steel (automobile+metal)
cookie (dessert+man)
finger (point+ring)
vinegar (liquid+wine)
crew (army+team)
barbecue (garage+holiday)
eagle (bird+hawk)
courtyard (garden+yard)
baby (cry+house)
temperature (fever+weather)
battle (battlefield+war)
bacteria (mouth+organism)
liquid (jar+substance)
wildlife (forest+sight)
sanctuary (church+haven)
cancer (illness+kill)
hair (decoration+scalp)
piracy (act+pirate)
astronomy (class+hobby)
steak (food+vampire)
submarine (boat+steel)
cpu (computer+processor)
wind (air+weather)
song (poem+romance)
snow (north+weather)
winter (season+spring)
estate (car+inheritance)
scholar (man+university)
medicine (jar+treatment)
discussion (meeting+speech)
cellar (castle+wine)
spider (floor+man)
stove (cook+device)
paradox (fact+puzzle)
policeman (freeway+male)
cereal (food+shelf)
poison (death+kill)
woman (man+person)
student (person+school)
boat (fiber+vessel)
silk (fabric+protein)
vodka (alcohol+bar)
tide (beach+spring)
soldier (guard+person)
men (male+man)
transportation (car+subway)
skin (body+fruit)
gas (boat+light)
shower (house+shave)
shoulder (arm+body)
patient (person+table)
acid (liquid+stomach)
government (control+management)
mouth (head+human)
camera (drawer+photography)
fog (valley+weather)
industry (civilization+economic)
fungus (field+organism)
insect (creature+pond)
pain (hurt+symptom)
player (stadium+team)
case (laptop+trunk)
rule (consistency+law)
boot (foot+shoe)
rabbit (carrot+pet)
atom (electron+molecule)
software (compilation+computer)
question (answer+phrase)
canal (bridge+path)
helmet (hat+motorcycle)
house (shelter+wood)
elevator (apartment+door)
phone (communication+machine)
photograph (picture+shelf)
mechanic (garage+job)
kingdom (government+monarchy)
truck (automobile+freeway)
bourbon (alcohol+liquor)
computer (hardware+machine)
tea (drank+drink)
horse (derby+pet)
president (election+office)
copper (bronze+metal)
fight (men+punch)
fun (good+life)
individual (group+single)
team (group+manager)
spaghetti (food+plate)
organ (body+system)
joke (good+laughter)
plane (air+machine)
cart (milk+supermarket)
pickle (jar+vegetable)
warrior (honor+man)
bomb (object+terror)
grandmother (family+female)
shareholder (factory+financing)
drawer (container+hiding)
bath (greece+relaxation)
kitchen (cook+place)
coal (carbon+fire)
inch (foot+segment)
soil (dirt+garden)
committee (business+plan)
religion (culture+war)
tool (build+item)
pill (bottle+medicine)
fireplace (camp+decoration)
novel (romance+story)
atmosphere (blanket+gas)
portrait (picture+wall)
space (area+item)
vase (container+table)
hotel (motel+resort)
belief (religion+trust)
pupil (class+eye)
beer (alcohol+casino)
tongue (cheek+muscle)
distance (amount+interval)
town (commerce+place)
brush (painting+tool)
rap (song+teen)
calculator (computer+office)
wood (boat+fuel)
corn (field+product)
nerve (body+tongue)
toe (body+foot)
pornography (home+sex)
tiger (cat+kill)
potato (soil+vegetable)
lace (shoe+wedding)
kite (bird+fun)
engine (plane+train)
air (balloon+gas)
tent (house+shelter)
beach (place+resort)
store (business+purchase)
fluid (container+substance)
earring (decoration+ear)
emotion (feeling+human)
statement (fact+newspaper)
paper (invention+wood)
throat (neck+organ)
paint (garage+painting)
pond (fish+park)
virus (computer+organism)
fuel (gas+plane)
hospital (facility+town)
turtle (pet+shield)
puzzle (distraction+picture)
pollution (air+crime)
depression (hell+suicide)
hook (punch+tool)
priest (confession+person)
condom (bedroom+protection)
honesty (value+virtue)
home (castle+family)
bike (crash+garage)
garage (house+mechanic)
green (army+color)
class (conference+recess)
history (college+museum)
elbow (arm+knee)
oxygen (fuel+plane)
army (fort+protection)
hero (human+spider)
cow (pet+stall)
factory (area+company)
cattle (baby+farm)
diamond (carbon+stone)
fish (pond+tail)
doll (fun+museum)
fur (cat+pet)
item (container+individual)
ash (carpet+wood)
spring (metal+season)
brain (organ+skull)
society (cooperation+population)
pepper (spice+table)
chemistry (class+science)
page (manuscript+newspaper)
court (justice+lawyer)
thing (object+place)
athlete (person+stadium)
weapon (competition+tool)
shade (bridge+lamp)
fabric (store+thread)
fall (rush+season)
merchant (business+man)
butter (food+milk)
sun (life+setting)
pitcher (container+player)
cafe (house+pie)
explosive (blast+weapon)
soul (human+life)
typhoon (extreme+sea)
piano (church+decoration)
container (item+metal)
artery (body+vessel)
roof (house+mouth)
confidence (attitude+self)
drain (toilet+tube)
audience (court+presentation)
road (surface+valley)
banker (owner+person)
captain (officer+ship)
scheme (evil+plan)
satellite (planet+space)
niece (person+reunion)
triangle (geometry+tool)
surprise (emotion+reaction)
gentleman (church+male)
voice (communication+mouth)
stomach (body+location)
flower (blossom+park)
author (job+person)
nature (art+complex)
dew (mountain+thing)
lane (path+road)
plastic (carbon+invention)
mentor (person+sponsor)
snake (field+pet)
guy (man+stranger)
egg (breed+food)
toilet (house+porcelain)
bottle (container+plastic)
taste (mouth+sense)
sight (perception+sense)
antique (item+trunk)
contribution (donation+gift)
head (hat+helmet)
garden (backyard+decoration)
milk (container+liquid)
witch (costume+wood)
trunk (garage+storage)
place (location+map)
motorcycle (garage+transportation)
poem (art+class)
customer (bar+target)
ink (fluid+marking)
kid (goat+park)
spark (action+fire)
stall (bathroom+horse)
bam (bang+impact)
security (home+illusion)
gravity (force+weight)
helicopter (airport+machine)
peasant (class+village)
tape (drawer+side)
clown (circus+surprise)
jump (fall+up)
trophy (growth+prize)
demonstration (class+presentation)
folder (school+storage)
ceremony (celebration+church)
study (journal+knowledge)
dance (fun+grace)
university (cooperation+institution)
torture (evil+pain)
horn (jazz+truck)
bubble (bath+burst)
character (novel+plot)
culture (body+today)
dollar (pocket+president)
population (amount+study)
degree (field+university)
shelf (bedroom+storage)
receiver (phone+stock)
carpet (decoration+luxury)
surf (beach+fun)
sea (beach+place)
hand (arm+pocket)
couple (dance+wedding)
meal (cereal+plate)
family (group+house)
pie (fruit+home)
balloon (air+party)
coat (item+wardrobe)
black (color+shade)
elephant (circus+trunk)
musician (player+studio)
plate (decoration+dish)
graduate (college+party)
gesture (hand+movement)
object (drawer+thing)
castle (fun+home)
steam (fog+gas)
print (method+paper)
painting (leisure+picture)
trip (fall+journey)
bronze (color+metal)
soap (bath+object)
idiot (bug+person)
poster (bedroom+roll)
field (countryside+plantation)
frog (pet+pond)
apple (dessert+house)
fruit (decoration+mouth)
trust (fall+honesty)
lung (body+organ)
female (bed+sex)
neck (body+shoulder)
bull (cattle+charge)
fire (combustion+cook)
fraud (crime+theft)
pattern (design+logic)
pod (container+foot)
invention (imagination+patent)
tar (roof+substance)
veil (up+wedding)
guilt (church+crime)
apartment (complex+shelter)
glue (bottle+substance)
nail (finger+house)
arm (house+wave)
secretary (boss+page)
news (fun+newspaper)
nose (air+body)
friend (school+thing)
picture (paper+table)
comedy (television+tragedy)
receipt (pocket+purchase)
column (army+decoration)
college (institution+teaching)
ear (deer+lord)
floor (walk+wood)
broccoli (green+plate)
pollen (air+honey)
wallet (plastic+pocket)
liquor (bar+drink)
interest (amount+fee)
race (chemistry+horse)
scar (finger+remainder)
wall (house+prison)
bill (notification+wallet)
paragraph (page+sentence)
drive (cruise+park)
management (company+job)
bud (beer+name)
automobile (garage+trunk)
sale (exchange+store)
candle (decoration+drawer)
sex (pleasure+recreation)
shadow (light+shade)
avenue (town+way)
victim (being+crime)
stock (festival+investment)
pet (family+house)
coil (shape+wire)
file (collection+office)
language (communication+mandarin)
cloud (air+shade)
office (business+location)
sheet (bed+bedroom)
surface (material+painting)
shell (egg+house)
pump (boat+shoe)
standard (marker+rule)
blanket (bedroom+hospital)
liver (body+filter)
hat (cotton+shade)
walker (rejection+walk)
hill (sugar+valley)
name (address+certificate)
instructor (college+school)
punch (hurt+tool)
act (proceed+segment)
time (age+dimension)
murder (crime+kill)
form (list+package)
fine (fee+good)
person (friend+individual)
self (illusion+person)
lion (painting+roar)
sink (drain+house)
christian (human+sin)
exercise (event+fitness)
clock (decoration+machine)
row (field+fight)
circle (shape+sun)
product (purchase+store)
darkness (bed+light)
card (business+pocket)
truth (good+virtue)
olive (garden+jar)
success (feeling+yourself)
foil (sword+wrap)
creator (being+person)
area (general+place)
design (dress+plate)
sentence (person+speech)
terrorist (human+plane)
relief (beer+volunteer)
relaxation (park+recreation)
scale (fish+machine)
poet (home+intellectual)
hunter (deer+forest)
motel (place+shower)
dad (beast+male)
pig (meal+mud)
brother (friendship+male)
body (food+organ)
counter (kitchen+store)
laundry (cellar+wash)
polish (language+table)
citizen (resident+vote)
cone (eye+shape)
wheel (metal+object)
slave (labor+person)
sin (confession+death)
description (interpretation+patent)
lotion (body+finger)
rope (boat+boy)
guitar (case+wood)
insurance (contract+house)
jacket (chest+person)
vacuum (household+space)
hike (fun+stretch)
lord (guide+nobility)
freedom (good+illusion)
address (finding+house)
level (measurement+tool)
light (particle+sight)
scene (location+paint)
deck (boat+porch)
memory (computer+organ)
collection (garage+gathering)
hallway (passage+space)
regret (emotion+guilt)
muscle (arm+walk)
prophet (person+teller)
hole (absence+dirt)
bed (furniture+sex)
tuck (bedtime+hollywood)
wrestle (stretch+sweat)
school (place+shelter)
mouse (pet+use)
creature (being+dessert)
dirt (field+material)
stem (apple+spinal)
cotton (fabric+thread)
robot (garage+machine)
church (place+prayer)
performer (dance+party)
foot (measurement+movement)
tennis (exercise+fun)
police (human+town)
branch (location+trunk)
tail (organ+way)
galaxy (collection+space)
eye (potato+vision)
arena (area+competition)
event (general+surprise)
soccer (ball+fun)
judge (courtroom+person)
bar (establishment+nightclub)
camp (field+place)
molecule (atom+donkey)
skate (fish+fun)
piece (fix+puzzle)
hurricane (eye+sea)
leap (action+bound)
transmission (automobile+car)
grid (plot+template)
ring (finger+symbolism)
alcohol (drink+wine)
sword (kill+steel)
program (test+theater)
leader (army+group)
disease (lab+strike)
cigarette (hand+torture)
literature (conference+teaching)
ton (bridge+set)
river (recreation+valley)
glory (name+war)
pound (currency+dollar)
deer (countryside+head)
boss (business+human)
order (class+rule)
war (control+fight)
walk (exercise+method)
car (machine+metal)
yard (house+storage)
knife (steel+tool)
valley (continent+place)
dial (clock+up)
title (address+page)
group (cluster+set)
shoe (fashion+house)
ticket (inventory+train)
phrase (clause+sentence)
life (complex+journey)
robbery (terror+theft)
kill (crime+revenge)
bag (drawer+goal)
post (cereal+product)
crime (act+demonstration)
metal (steel+strength)
chest (container+storage)
plant (house+organism)
gift (birthday+object)
knowledge (class+innovation)
sugar (container+molecule)
capital (business+president)
bullet (copper+kill)
marker (drawing+school)
verb (action+sentence)
reflection (pond+sea)
party (celebration+gathering)
track (circle+snow)
prison (america+place)
table (plateau+stone)
resolution (decision+problem)
dress (action+answer)
sign (orientation+town)
tank (container+war)
hammer (garage+pound)
slide (equipment+park)
irs (business+government)
